source,feature,metabolite,labeling,sample_name,value,sample
MP4A_Tumor,PYRUVATE_M3,PYRUVATE,M3,MP4A.Tumour1_1004004,0.0991,Patient tumor
MP4A_Tumor,LACTATE_M3,LACTATE,M3,MP4A.Tumour1_1004004,0.1161,Patient tumor
MP4A_Tumor,ALANINE_M3,ALANINE,M3,MP4A.Tumour1_1004004,0.0367,Patient tumor
MP4A_Tumor,SUCCINATE_M2,SUCCINATE,M2,MP4A.Tumour1_1004004,0.0246,Patient tumor
MP4A_Tumor,FUMARATE_M2,FUMARATE,M2,MP4A.Tumour1_1004004,-0.0206,Patient tumor
MP4A_Tumor,MALATE_M2,MALATE,M2,MP4A.Tumour1_1004004,-0.0071,Patient tumor
MP4A_Tumor,ASPARTATE_M2,ASPARTATE,M2,MP4A.Tumour1_1004004,-0.0061,Patient tumor
MP4A_Tumor,GLUTAMATE_M2,GLUTAMATE,M2,MP4A.Tumour1_1004004,0.0202,Patient tumor
MP4A_Tumor,CITRATE_M2,CITRATE,M2,MP4A.Tumour1_1004004,0.0421,Patient tumor
MP4A_Tumor,3PG_M3,3PG,M3,MP4A.Tumour1_1004004,0.0351,Patient tumor
MP4A_Tumor,GLUCOSE_M6,GLUCOSE,M6,MP4A.Tumour1_1004004,0.2119,Patient tumor
MP4A_PDX_P2,PYRUVATE_M3,PYRUVATE,M3,NB8316_TumourA_1h,0.0914199767326687,PDX
MP4A_PDX_P2,LACTATE_M3,LACTATE,M3,NB8316_TumourA_1h,0.102942353287701,PDX
MP4A_PDX_P2,ALANINE_M3,ALANINE,M3,NB8316_TumourA_1h,0.026118298743387,PDX
MP4A_PDX_P2,SUCCINATE_M2,SUCCINATE,M2,NB8316_TumourA_1h,0.00698317598995385,PDX
MP4A_PDX_P2,FUMARATE_M2,FUMARATE,M2,NB8316_TumourA_1h,0.0284734108032911,PDX
MP4A_PDX_P2,MALATE_M2,MALATE,M2,NB8316_TumourA_1h,0.0159538492213888,PDX
MP4A_PDX_P2,ASPARTATE_M2,ASPARTATE,M2,NB8316_TumourA_1h,0.00499749839139235,PDX
MP4A_PDX_P2,GLUTAMATE_M2,GLUTAMATE,M2,NB8316_TumourA_1h,0.0158567845506448,PDX
MP4A_PDX_P2,CITRATE_M2,CITRATE,M2,NB8316_TumourA_1h,0.0719266661908694,PDX
MP4A_PDX_P2,3PG_M3,3PG,M3,NB8316_TumourA_1h,0.103430487735494,PDX
MP4A_PDX_P2,GLUCOSE_M6,GLUCOSE,M6,NB8316_TumourA_1h,0.195615366853821,PDX
MP4A_PDX_P2,PYRUVATE_M3,PYRUVATE,M3,NB8316_TumourB_1h,0.110785679575885,PDX
MP4A_PDX_P2,LACTATE_M3,LACTATE,M3,NB8316_TumourB_1h,0.115802067850742,PDX
MP4A_PDX_P2,ALANINE_M3,ALANINE,M3,NB8316_TumourB_1h,0.0316959426969852,PDX
MP4A_PDX_P2,SUCCINATE_M2,SUCCINATE,M2,NB8316_TumourB_1h,0.0065050650522244,PDX
MP4A_PDX_P2,FUMARATE_M2,FUMARATE,M2,NB8316_TumourB_1h,0.0340074665608147,PDX
MP4A_PDX_P2,MALATE_M2,MALATE,M2,NB8316_TumourB_1h,0.011826524298236,PDX
MP4A_PDX_P2,ASPARTATE_M2,ASPARTATE,M2,NB8316_TumourB_1h,0.0110779864893858,PDX
MP4A_PDX_P2,GLUTAMATE_M2,GLUTAMATE,M2,NB8316_TumourB_1h,0.0195661693099859,PDX
MP4A_PDX_P2,CITRATE_M2,CITRATE,M2,NB8316_TumourB_1h,0.0749259462776516,PDX
MP4A_PDX_P2,3PG_M3,3PG,M3,NB8316_TumourB_1h,0.0620599037305368,PDX
MP4A_PDX_P2,GLUCOSE_M6,GLUCOSE,M6,NB8316_TumourB_1h,0.227741578989681,PDX
MP4A_PDX_P2,PYRUVATE_M3,PYRUVATE,M3,NB8316_TumourC_1h,0.127079422974732,PDX
MP4A_PDX_P2,LACTATE_M3,LACTATE,M3,NB8316_TumourC_1h,0.123125737438818,PDX
MP4A_PDX_P2,ALANINE_M3,ALANINE,M3,NB8316_TumourC_1h,0.0350935570090756,PDX
MP4A_PDX_P2,SUCCINATE_M2,SUCCINATE,M2,NB8316_TumourC_1h,0.0152450015599139,PDX
MP4A_PDX_P2,FUMARATE_M2,FUMARATE,M2,NB8316_TumourC_1h,0.03382875793096,PDX
